cell_type,effect_class,gene,primary_comparison,logfoldchanges,pvals_adj,direction
B_cell,unique_40nm,GLCCI1,PSNP_40nm_vs_control,-0.7738276720046997,2.017419887885092e-46,DOWN
B_cell,unique_40nm,GLIS3,PSNP_40nm_vs_control,-0.33094462752342224,3.1448528426326603e-264,DOWN
B_cell,unique_40nm,GOLM1,PSNP_40nm_vs_control,-0.6971482634544373,4.634225298093017e-07,DOWN
B_cell,unique_40nm,GRASP,PSNP_40nm_vs_control,-1.5217903852462769,6.1987919243327855e-173,DOWN
B_cell,unique_40nm,HAL,PSNP_40nm_vs_control,-0.28906869888305664,3.665652372738935e-259,DOWN
B_cell,unique_40nm,HCAR1,PSNP_40nm_vs_control,1.2504292726516724,1.752771261517899e-44,UP
B_cell,unique_40nm,HCK,PSNP_40nm_vs_control,1.1933977603912354,2.2553662893029585e-36,UP
B_cell,unique_40nm,HDGFRP3,PSNP_40nm_vs_control,-1.8218821287155151,3.949996759833532e-236,DOWN
B_cell,unique_40nm,HIST2H2AB,PSNP_40nm_vs_control,2.014601469039917,1.5396028097923456e-07,UP
B_cell,unique_40nm,HIST2H4A,PSNP_40nm_vs_control,1.4587243795394897,6.1627837378610146e-49,UP
B_cell,unique_40nm,HIST3H2A,PSNP_40nm_vs_control,0.3094964325428009,4.357202983893662e-56,UP
B_cell,unique_40nm,HOXA10,PSNP_40nm_vs_control,-0.31593242287635803,4.126873640963635e-07,DOWN
B_cell,unique_40nm,HPGDS,PSNP_40nm_vs_control,1.317569613456726,2.0809927627732804e-278,UP
B_cell,unique_40nm,ID2,PSNP_40nm_vs_control,-0.3954879641532898,4.789103703824286e-188,DOWN
B_cell,unique_40nm,ID3,PSNP_40nm_vs_control,0.4404109716415405,8.735893595348889e-15,UP
B_cell,unique_40nm,IGFBP7,PSNP_40nm_vs_control,-0.45856621861457825,1.840077836772544e-55,DOWN
B_cell,unique_40nm,IL18RAP,PSNP_40nm_vs_control,-0.3266737163066864,3.290222791252316e-264,DOWN
B_cell,unique_40nm,IL8,PSNP_40nm_vs_control,-0.3070138096809387,0.0020511355405133467,DOWN
B_cell,unique_40nm,INSRR,PSNP_40nm_vs_control,0.28478649258613586,2.0694595957851325e-55,UP
B_cell,unique_40nm,IQGAP1,PSNP_40nm_vs_control,0.5445416569709778,4.136204586518461e-08,UP
B_cell,unique_40nm,IRGM,PSNP_40nm_vs_control,2.314967155456543,8.430883916733744e-271,UP
B_cell,unique_40nm,ITGAV,PSNP_40nm_vs_control,-0.3586690127849579,2.4736743442537268e-207,DOWN
B_cell,unique_40nm,JAKMIP2,PSNP_40nm_vs_control,-0.3315106928348541,7.762354191887953e-254,DOWN
B_cell,unique_40nm,JPH1,PSNP_40nm_vs_control,1.9219228029251099,3.5253552199022975e-07,UP
B_cell,unique_40nm,JPH4,PSNP_40nm_vs_control,1.2119096517562866,9.118095223025986e-279,UP
B_cell,unique_40nm,KCNQ5,PSNP_40nm_vs_control,0.4347825050354004,0.01000479349189208,UP
B_cell,unique_40nm,KHDC1,PSNP_40nm_vs_control,-0.28749796748161316,1.2350063604847652e-40,DOWN
B_cell,unique_40nm,KIAA0825,PSNP_40nm_vs_control,1.3130375146865845,2.8705047154688673e-05,UP
B_cell,unique_40nm,KIF21A,PSNP_40nm_vs_control,-0.6285209059715271,5.002708605243933e-05,DOWN
B_cell,unique_40nm,KLRF1,PSNP_40nm_vs_control,-0.3023323118686676,7.843967267935795e-270,DOWN
B_cell,unique_40nm,LAG3,PSNP_40nm_vs_control,-0.2908605635166168,3.4033299084767676e-266,DOWN
B_cell,unique_40nm,LAYN,PSNP_40nm_vs_control,0.2777899503707886,5.082358610768983e-50,UP
B_cell,unique_40nm,LCORL,PSNP_40nm_vs_control,0.49949219822883606,2.4744503523030745e-26,UP
B_cell,unique_40nm,LIN7A,PSNP_40nm_vs_control,0.264371782541275,2.0694595957851325e-55,UP
B_cell,unique_40nm,LINC00276,PSNP_40nm_vs_control,0.3222648501396179,4.773634692235804e-56,UP
B_cell,unique_40nm,LINC00871,PSNP_40nm_vs_control,-4.336169242858887,5.424245167402994e-07,DOWN
B_cell,unique_40nm,LINC00907,PSNP_40nm_vs_control,-3.0607943534851074,7.843744436621589e-06,DOWN
B_cell,unique_40nm,LINC01013,PSNP_40nm_vs_control,-0.38318201899528503,2.2890006966603172e-06,DOWN
B_cell,unique_40nm,LRRC16A,PSNP_40nm_vs_control,0.5940245985984802,1.8167536978151641e-239,UP
B_cell,unique_40nm,MAML2,PSNP_40nm_vs_control,0.553865373134613,0.03873797299447216,UP
B_cell,unique_40nm,MAP3K5,PSNP_40nm_vs_control,-1.868787407875061,7.306564157199671e-31,DOWN
B_cell,unique_40nm,MARC1,PSNP_40nm_vs_control,3.759634256362915,6.412871280817103e-278,UP
B_cell,unique_40nm,MBOAT2,PSNP_40nm_vs_control,-0.6926524043083191,2.252094649761011e-272,DOWN
B_cell,unique_40nm,MEF2A,PSNP_40nm_vs_control,0.3589242696762085,0.00010948216401234829,UP
B_cell,unique_40nm,MEIS1,PSNP_40nm_vs_control,-2.1892549991607666,3.2915743681779485e-279,DOWN
B_cell,unique_40nm,MEIS2,PSNP_40nm_vs_control,0.4149061441421509,4.851115482276072e-07,UP
B_cell,unique_40nm,MELK,PSNP_40nm_vs_control,1.2912508249282837,7.140313964255574e-273,UP
B_cell,unique_40nm,MICALCL,PSNP_40nm_vs_control,-1.0947107076644897,1.9305611711857476e-276,DOWN
B_cell,unique_40nm,MID1,PSNP_40nm_vs_control,2.437737464904785,4.145324499944513e-07,UP
B_cell,unique_40nm,MIR503HG,PSNP_40nm_vs_control,-0.7950394749641418,6.8637436497046265e-280,DOWN
B_cell,unique_40nm,MSRA,PSNP_40nm_vs_control,0.32160234451293945,9.886127073989737e-89,UP
B_cell,unique_40nm,MT1E,PSNP_40nm_vs_control,-0.9077118635177612,6.809817085198352e-252,DOWN
B_cell,unique_40nm,MT2A,PSNP_40nm_vs_control,-0.3759269416332245,2.306772423814307e-13,DOWN
B_cell,unique_40nm,MYBL1,PSNP_40nm_vs_control,-0.36669400334358215,1.2965122186643108e-229,DOWN
B_cell,unique_40nm,NEO1,PSNP_40nm_vs_control,0.26484835147857666,0.000683150190768981,UP
B_cell,unique_40nm,NINJ1,PSNP_40nm_vs_control,-0.33215421438217163,1.322010213883709e-151,DOWN
B_cell,unique_40nm,OLR1,PSNP_40nm_vs_control,-0.2958732545375824,6.8637436497046265e-280,DOWN
B_cell,unique_40nm,PACSIN2,PSNP_40nm_vs_control,0.3632495403289795,2.750741142645373e-43,UP
B_cell,unique_40nm,PARM1,PSNP_40nm_vs_control,-0.42802757024765015,1.3311865140400325e-221,DOWN
B_cell,unique_40nm,PCP4L1,PSNP_40nm_vs_control,-0.33574584126472473,1.863066533763346e-55,DOWN
B_cell,unique_40nm,PCSK5,PSNP_40nm_vs_control,-0.5287296772003174,1.9829338222473245e-267,DOWN
B_cell,unique_40nm,PDGFC,PSNP_40nm_vs_control,-0.37163543701171875,6.412871280817103e-278,DOWN
B_cell,unique_40nm,PDZD7,PSNP_40nm_vs_control,0.4986379146575928,9.118095223025986e-279,UP
B_cell,unique_40nm,PHLDA2,PSNP_40nm_vs_control,-0.6228840947151184,6.412871280817103e-278,DOWN
B_cell,unique_40nm,PIK3R5,PSNP_40nm_vs_control,-0.41739192605018616,8.819011590010881e-85,DOWN
B_cell,unique_40nm,PLA2G16,PSNP_40nm_vs_control,-0.4774261713027954,4.885843253545478e-06,DOWN
B_cell,unique_40nm,PLCB1,PSNP_40nm_vs_control,-0.370631605386734,3.990328838559799e-05,DOWN
B_cell,unique_40nm,PPP1R14B,PSNP_40nm_vs_control,-0.5631963610649109,1.3211138827319524e-10,DOWN
B_cell,unique_40nm,PPP1R26-AS1,PSNP_40nm_vs_control,0.33918678760528564,1.9470238616772054e-276,UP
B_cell,unique_40nm,PPP2R2B,PSNP_40nm_vs_control,-0.2635038197040558,7.809688844275527e-218,DOWN
B_cell,unique_40nm,PSTPIP2,PSNP_40nm_vs_control,-0.5048037171363831,3.187885234991683e-46,DOWN
B_cell,unique_40nm,PTMS,PSNP_40nm_vs_control,-0.8913547396659851,9.670170037582162e-243,DOWN
B_cell,unique_40nm,PTPN12,PSNP_40nm_vs_control,2.4846549034118652,1.0629735864248134e-63,UP
B_cell,unique_40nm,PTPRE,PSNP_40nm_vs_control,-0.2685784697532654,2.5619090936928325e-99,DOWN
B_cell,unique_40nm,PVRL3-AS1,PSNP_40nm_vs_control,-0.7414472699165344,1.9336309407116756e-07,DOWN
B_cell,unique_40nm,PXDN,PSNP_40nm_vs_control,0.822099506855011,1.1917137587749887e-272,UP
B_cell,unique_40nm,RASAL2,PSNP_40nm_vs_control,-0.37795722484588623,1.0541397477548605e-264,DOWN
B_cell,unique_40nm,RB1,PSNP_40nm_vs_control,0.26499271392822266,0.0009957414384544486,UP
B_cell,unique_40nm,RFTN1,PSNP_40nm_vs_control,-0.4563504755496979,0.021964488782070163,DOWN
B_cell,unique_40nm,RGS7,PSNP_40nm_vs_control,-0.30262887477874756,5.252813107058933e-42,DOWN
B_cell,unique_40nm,RNF13,PSNP_40nm_vs_control,3.807245969772339,8.846005170546693e-26,UP
B_cell,unique_40nm,RNF144B,PSNP_40nm_vs_control,2.328916311264038,3.3105606535794845e-31,UP
B_cell,unique_40nm,RP1-122O8.7,PSNP_40nm_vs_control,-1.450545072555542,2.092281614297293e-48,DOWN
B_cell,unique_40nm,RP11-1100L3.7,PSNP_40nm_vs_control,-2.3385519981384277,1.672010637367874e-07,DOWN
B_cell,unique_40nm,RP11-114J13.1,PSNP_40nm_vs_control,-0.781989336013794,2.0809927627732804e-278,DOWN
B_cell,unique_40nm,RP11-148L24.1,PSNP_40nm_vs_control,0.2860303521156311,4.357202983893662e-56,UP
B_cell,unique_40nm,RP11-157D23.2,PSNP_40nm_vs_control,-0.7474358081817627,3.2915743681779485e-279,DOWN
B_cell,unique_40nm,RP11-165M1.3,PSNP_40nm_vs_control,3.9182779788970947,8.665428730455966e-49,UP
B_cell,unique_40nm,RP11-16B13.1,PSNP_40nm_vs_control,0.9045146703720093,7.637582479030334e-07,UP
B_cell,unique_40nm,RP11-174G6.1,PSNP_40nm_vs_control,0.9409874081611633,1.8179351539216027e-07,UP
B_cell,unique_40nm,RP11-190P13.2,PSNP_40nm_vs_control,-0.2946937680244446,3.1868037352146786e-06,DOWN
B_cell,unique_40nm,RP11-384F7.1,PSNP_40nm_vs_control,0.2600499093532562,5.6542258227287036e-55,UP
B_cell,unique_40nm,RP11-390F4.6,PSNP_40nm_vs_control,2.7553839683532715,3.7118864018732903e-07,UP
B_cell,unique_40nm,RP11-430H10.1,PSNP_40nm_vs_control,-2.1869823932647705,1.717333819783577e-07,DOWN
B_cell,unique_40nm,RP11-444D3.1,PSNP_40nm_vs_control,-0.5470983982086182,4.0472062869888265e-40,DOWN
B_cell,unique_40nm,RP11-475O6.1,PSNP_40nm_vs_control,-0.29638147354125977,4.038851390832778e-06,DOWN
B_cell,unique_40nm,RP11-529G21.2,PSNP_40nm_vs_control,1.297680139541626,4.851115482276072e-07,UP
B_cell,unique_40nm,RP11-563P16.1,PSNP_40nm_vs_control,-0.31916576623916626,2.0809927627732804e-278,DOWN
B_cell,unique_40nm,RP11-602N24.3,PSNP_40nm_vs_control,0.31379637122154236,2.0809927627732804e-278,UP
B_cell,unique_40nm,RP11-626G11.3,PSNP_40nm_vs_control,-0.5208685398101807,1.9892425469888233e-55,DOWN
B_cell,unique_40nm,RP11-644C3.1,PSNP_40nm_vs_control,-1.1808174848556519,3.2915743681779485e-279,DOWN
B_cell,unique_40nm,RP11-762E8.1,PSNP_40nm_vs_control,-0.5521306991577148,1.8265087167406148e-07,DOWN
B_cell,unique_40nm,RP11-789C2.1,PSNP_40nm_vs_control,0.3577789068222046,4.210285177118684e-07,UP
B_cell,unique_40nm,RP11-95P2.3,PSNP_40nm_vs_control,-0.30019283294677734,6.8637436497046265e-280,DOWN
B_cell,unique_40nm,RP11-96K19.5,PSNP_40nm_vs_control,0.6710200905799866,6.288757627345314e-276,UP
B_cell,unique_40nm,RRAS2,PSNP_40nm_vs_control,-0.49848607182502747,0.0008851009821960453,DOWN
B_cell,unique_40nm,RTN3,PSNP_40nm_vs_control,-0.7869747877120972,3.085049874312959e-05,DOWN
B_cell,unique_40nm,RUNX2,PSNP_40nm_vs_control,-0.33202794194221497,3.939386917843867e-152,DOWN
B_cell,unique_40nm,S100A6,PSNP_40nm_vs_control,-0.344683974981308,3.9495064531125434e-24,DOWN
B_cell,unique_40nm,SAMSN1-AS1,PSNP_40nm_vs_control,-0.45791125297546387,9.118095223025986e-279,DOWN
B_cell,unique_40nm,SASH1,PSNP_40nm_vs_control,0.29612863063812256,6.462599944674517e-53,UP
B_cell,unique_40nm,SAT1,PSNP_40nm_vs_control,0.9432699680328369,2.2021524389041856e-21,UP
B_cell,unique_40nm,SBF2,PSNP_40nm_vs_control,2.913588762283325,8.840163721482154e-60,UP
B_cell,unique_40nm,SDS,PSNP_40nm_vs_control,1.5641688108444214,1.3084534473940508e-274,UP
B_cell,unique_40nm,SETBP1,PSNP_40nm_vs_control,0.5640177130699158,1.3616138559990039e-11,UP
B_cell,unique_40nm,SLC35D1,PSNP_40nm_vs_control,0.7570686936378479,0.02780427719678981,UP
B_cell,unique_40nm,SLC6A6,PSNP_40nm_vs_control,-0.39409616589546204,1.9157684746571072e-94,DOWN
B_cell,unique_40nm,SLC7A7,PSNP_40nm_vs_control,0.514044463634491,2.115561312646832e-45,UP
B_cell,unique_40nm,SLC9A9,PSNP_40nm_vs_control,-0.25207871198654175,0.004801352443396034,DOWN
B_cell,unique_40nm,SP140,PSNP_40nm_vs_control,-0.48059311509132385,1.0180288718695379e-05,DOWN
B_cell,unique_40nm,SPOCK3,PSNP_40nm_vs_control,-0.5340284109115601,2.571526680011144e-07,DOWN
B_cell,unique_40nm,ST8SIA6-AS1,PSNP_40nm_vs_control,0.26912879943847656,6.8637436497046265e-280,UP
B_cell,unique_40nm,SUSD5,PSNP_40nm_vs_control,3.542606830596924,9.897079097960662e-55,UP
B_cell,unique_40nm,SYTL4,PSNP_40nm_vs_control,1.552585244178772,1.3084534473940508e-274,UP
B_cell,unique_40nm,TALDO1,PSNP_40nm_vs_control,0.5350845456123352,0.000608629576514765,UP
B_cell,unique_40nm,TBC1D2B,PSNP_40nm_vs_control,-0.25899258255958557,5.310608221554647e-166,DOWN
B_cell,unique_40nm,TCAIM,PSNP_40nm_vs_control,1.1247302293777466,0.011696920524219114,UP
B_cell,unique_40nm,TCF7L2,PSNP_40nm_vs_control,-0.5717428922653198,1.0472772737153168e-229,DOWN
B_cell,unique_40nm,TIMP1,PSNP_40nm_vs_control,-0.8871450424194336,4.672464525000774e-184,DOWN
B_cell,unique_40nm,TMEM132C,PSNP_40nm_vs_control,0.27597007155418396,7.038996959291325e-49,UP
B_cell,unique_40nm,TMTC2,PSNP_40nm_vs_control,-0.3045409619808197,8.647322968424711e-219,DOWN
B_cell,unique_40nm,TNFSF15,PSNP_40nm_vs_control,0.3862707316875458,2.561651136264175e-56,UP
B_cell,unique_40nm,TTC23,PSNP_40nm_vs_control,7.878020286560059,7.958371195665833e-272,UP
B_cell,unique_40nm,TVP23A,PSNP_40nm_vs_control,1.1413450241088867,1.2494410439112332e-51,UP
B_cell,unique_40nm,UBXN10-AS1,PSNP_40nm_vs_control,-0.6074880361557007,3.116385417608815e-55,DOWN
B_cell,unique_40nm,USP54,PSNP_40nm_vs_control,2.9863603115081787,3.219727329296802e-06,UP
B_cell,unique_40nm,UST,PSNP_40nm_vs_control,-0.5289044380187988,0.024550466495006265,DOWN
B_cell,unique_40nm,VIM,PSNP_40nm_vs_control,-1.338213324546814,5.984573861911631e-12,DOWN
B_cell,unique_40nm,WARS,PSNP_40nm_vs_control,0.7556833028793335,9.589459043659862e-06,UP
B_cell,unique_40nm,WDFY4,PSNP_40nm_vs_control,0.3165062665939331,3.690421060383659e-12,UP
B_cell,unique_40nm,WEE2,PSNP_40nm_vs_control,-0.4593031406402588,1.9892425469888233e-55,DOWN
B_cell,unique_40nm,XXbac-BPG249D20.9,PSNP_40nm_vs_control,1.8825080394744873,4.623950542798212e-54,UP
B_cell,unique_40nm,ZFYVE28,PSNP_40nm_vs_control,-0.2863168716430664,5.028458043705736e-180,DOWN
B_cell,unique_40nm,ZNF157,PSNP_40nm_vs_control,2.4033169746398926,7.18521172738573e-273,UP
B_cell,unique_40nm,ZNRF1,PSNP_40nm_vs_control,-0.3793647885322571,1.5087083093328058e-216,DOWN
B_cell,unique_40nm,ZSWIM5,PSNP_40nm_vs_control,-0.5428984761238098,1.171129167298761e-05,DOWN
B_cell,unique_200nm,ABCA13,PSNP_200nm_vs_control,0.9343894720077515,1.757719219917689e-35,UP
B_cell,unique_200nm,ABCB5,PSNP_200nm_vs_control,1.7613457441329956,1.2677557202502506e-57,UP
B_cell,unique_200nm,ABCG1,PSNP_200nm_vs_control,2.9037418365478516,1.1452782778969668e-05,UP
B_cell,unique_200nm,ABR,PSNP_200nm_vs_control,-0.28203731775283813,1.4750923393982423e-05,DOWN
B_cell,unique_200nm,AC104820.2,PSNP_200nm_vs_control,-0.5856636166572571,0.0,DOWN
B_cell,unique_200nm,ACOXL,PSNP_200nm_vs_control,1.2608824968338013,0.0,UP
B_cell,unique_200nm,ADTRP,PSNP_200nm_vs_control,0.25894638895988464,0.0,UP
B_cell,unique_200nm,AF131217.1,PSNP_200nm_vs_control,-0.5652623772621155,0.0,DOWN
B_cell,unique_200nm,AHI1,PSNP_200nm_vs_control,1.369581699371338,3.7095384921072916e-10,UP
