azimuth_cell_type,azimuth_cell_type_key,rank,gene,logfc,padj,pct_in_group,pct_out_group,specificity
CD8 T,CD8_T,9,NKG7,1.333802580833435,7.541478577855277e-93,0.28253870918289126,0.153481331987891,0.12905737719500027
CD8 T,CD8_T,10,C12orf75,1.1717796325683594,7.135192531429411e-84,0.29487965659972404,0.18198789101917257,0.11289176558055147
DC,DC,1,HLA-DQA1,7.019287586212158,2.2592051788627817e-19,1.0,0.093905150619841,0.906094849380159
DC,DC,2,ADRBK2,6.069893836975098,5.1712360722681e-19,1.0,0.10718528220279613,0.8928147177972039
DC,DC,3,HLA-DQB1,6.350052356719971,2.7109959312452063e-18,0.9714285714285714,0.096676921202522,0.8747516502260494
DC,DC,4,HLA-DRA,7.103156089782715,2.9892252410413583e-19,1.0,0.13849715208187383,0.8615028479181261
DC,DC,5,HLA-DRB1,6.9784464836120605,2.2592051788627817e-19,1.0,0.14428436538637263,0.8557156346136274
DC,DC,6,TCF4,5.754812717437744,2.853175168875877e-16,0.9428571428571428,0.10148944595047363,0.8413676969066692
DC,DC,7,ALCAM,5.213136196136475,4.73226974424595e-15,0.9428571428571428,0.10663701988973835,0.8362201229674044
DC,DC,8,CSF2RA,6.380276203155518,1.148131532579303e-15,0.8857142857142858,0.050561968870884225,0.8351523168434015
DC,DC,9,MCOLN2,6.068975925445557,2.7498065721856324e-16,0.9142857142857143,0.08263531418476441,0.8316504001009498
DC,DC,10,HLA-DPA1,6.1243062019348145,6.932980793278679e-19,1.0,0.17468246474368737,0.8253175352563127
Mono,Mono,1,KYNU,8.13231086730957,0.0,0.9885583524027459,0.04373674400668422,0.9448216083960617
Mono,Mono,2,RP11-519G16.3,8.70396614074707,0.0,0.9628146453089245,0.020631145960537303,0.9421834993483872
Mono,Mono,3,DOCK4,8.326339721679688,0.0,0.9897025171624714,0.048942734108875875,0.9407597830535955
Mono,Mono,4,SLC7A11,8.010783195495605,0.0,0.9702517162471396,0.034031750112475084,0.9362199661346645
Mono,Mono,5,ANPEP,8.696145057678223,0.0,0.9376430205949655,0.01134391670415836,0.9262991038908072
Mono,Mono,6,CYP1B1,8.214567184448242,0.0,0.9622425629290617,0.03820939649077702,0.9240331664382847
Mono,Mono,7,PLAUR,8.289252281188965,0.0,0.9513729977116704,0.028086637958737698,0.9232863597529327
Mono,Mono,8,RAB31,6.840029239654541,0.0,0.9530892448512585,0.054598624590269276,0.8984906202609891
Mono,Mono,9,MMP14,8.869030952453613,0.0,0.9073226544622426,0.009287229256378942,0.8980354252058637
Mono,Mono,10,EREG,7.794500827789307,0.0,0.9427917620137298,0.04621119609229383,0.896580565921436
NK,NK,1,GNLY,6.712597370147705,0.0,0.9745547073791347,0.1460928281106595,0.8284618792684753
NK,NK,2,NKG7,4.52724027633667,0.0,0.7917726887192538,0.1593352563262095,0.6324374323930443
NK,NK,3,TYROBP,5.005009174346924,0.0,0.6827820186598813,0.08545299593549234,0.5973290227243889
NK,NK,4,GZMB,4.345326900482178,0.0,0.6670907548770144,0.11161006948996986,0.5554806853870445
NK,NK,5,C1orf21,3.749107837677002,0.0,0.74342663273961,0.1982430837813033,0.5451835489583067
NK,NK,6,KLRD1,4.338216781616211,0.0,0.6395250212044106,0.10200603120492988,0.5375189899994807
NK,NK,7,FGFBP2,3.753249406814575,0.0,0.5733672603901612,0.11698570866657927,0.4563815517235819
NK,NK,8,METRNL,3.2480342388153076,0.0,0.6306191687871077,0.19398190638521048,0.43663726240189715
NK,NK,9,NCALD,3.466160535812378,6.522342097266853e-281,0.5466497031382527,0.1276714304444736,0.4189782726937791
NK,NK,10,PRF1,3.6204299926757812,4.970145790026577e-254,0.5021204410517387,0.097089288055592,0.40503115299614667
other,other,1,ATP8B4,5.631845474243164,9.646701852163956e-36,0.5377358490566039,0.03515648925093404,0.5025793598056698
other,other,2,SWAP70,3.562237024307251,4.303839164440885e-35,0.6320754716981132,0.14240215593801678,0.48967331576009643
other,other,3,TMEM164,4.252964973449707,4.0064850579258524e-36,0.5943396226415097,0.11119617810987936,0.4831434445316304
other,other,4,BASP1,3.485959768295288,6.368218962695851e-29,0.5754716981132076,0.13419489189685796,0.4412768062163497
other,other,5,ZMIZ1,3.579782009124756,4.143283838972472e-26,0.518867924528302,0.09475102590800516,0.42411689862029683
other,other,6,GAB1,4.779188632965088,1.6314366571670896e-25,0.46698113207547165,0.042996263857414105,0.42398486821805753
other,other,7,RAB31,3.650521993637085,4.9948777230652663e-26,0.5235849056603775,0.0996508850370552,0.4239340206233223
other,other,8,DOCK5,3.543694496154785,1.663224911406355e-24,0.5047169811320754,0.08694187542108164,0.41777510571099374
other,other,9,EMR2,6.228994369506836,7.926553247762634e-22,0.410377358490566,0.01613891100630857,0.3942384474842574
other,other,10,CDK14,3.0035245418548584,1.8179790950018152e-21,0.518867924528302,0.12675323084461323,0.3921146936836888
other T,other_T,1,KLRB1,5.034141540527344,0.0,0.7405204460966545,0.13007201548174235,0.610448430614912
other T,other_T,2,GZMK,4.07729959487915,7.567082415514407e-191,0.5561338289962826,0.08020050125313286,0.4759333277431498
other T,other_T,3,ME1,6.267807960510254,1.817100130422816e-179,0.47657992565055773,0.01795628311284541,0.4586236425377123
other T,other_T,4,CXCR6,4.557399272918701,2.911519506289663e-172,0.4966542750929369,0.0483804447828432,0.4482738303100937
other T,other_T,5,CEBPD,3.729576826095581,2.1584714442326214e-162,0.5241635687732342,0.09866438247517531,0.42549918629805894
other T,other_T,6,SLC4A10,6.613367557525635,2.289556324919084e-145,0.42453531598513017,0.01094508422956125,0.4135902317555689
other T,other_T,7,ZBTB16,4.175546646118164,1.7327929245392105e-130,0.44014869888475844,0.046699026046127995,0.3934496728386304
other T,other_T,8,AC092580.4,2.542402982711792,3.993047902497226e-115,0.5501858736059481,0.19136448716728538,0.3588213864386627
other T,other_T,9,AMICA1,3.070002794265747,3.7374410137395354e-116,0.4691449814126395,0.11347990228736402,0.35566507912527545
other T,other_T,10,ADAM12,5.925118446350098,4.9337756946078696e-105,0.36431226765799263,0.01319755083912313,0.3511147168188695
