Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,gene_set,cell_type,effect_class,direction,n_input_genes
GO_Biological_Process_2023,Wound Healing (GO:0042060),1/80,0.4094890533403055,0.5207562210725845,0,0,1.9269717624148004,1.720487310971666,NF1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Activation Of Protein Kinase Activity (GO:0032147),1/81,0.4133724261885892,0.5248656200028619,0,0,1.9027884615384616,1.6809353792517892,PTK2B,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Sodium Ion Transmembrane Transport (GO:0035725),1/82,0.4172304544038749,0.5280982952753449,0,0,1.8792022792022791,1.6426418344463662,SLC9A7,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),1/82,0.4172304544038749,0.5280982952753449,0,0,1.8792022792022791,1.6426418344463662,TCF7L2,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Calcium Ion Transmembrane Import Into Cytosol (GO:0097553),1/83,0.4210633022363418,0.5304475090770817,0,0,1.856191369606004,1.6055537376823723,PLCB1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Epigenetic Regulation Of Gene Expression (GO:0040029),1/83,0.4210633022363418,0.5304475090770817,0,0,1.856191369606004,1.6055537376823723,HDAC9,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Regulation Of NIK/NF-kappaB Signaling (GO:1901222),1/83,0.4210633022363418,0.5304475090770817,0,0,1.856191369606004,1.6055537376823723,HDAC9,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Proteasomal Protein Catabolic Process (GO:0010498),2/220,0.4235525241419103,0.5325101185213562,0,0,1.397553516819572,1.200607128822821,ENC1;RHOBTB3,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Cell Motility (GO:2000147),2/221,0.425805188978693,0.5325101185213562,0,0,1.3911011999575236,1.1876851180085306,ITGB1;PTK2B,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Regulation Of Kinase Activity (GO:0043549),1/85,0.4286541078283712,0.5325101185213562,0,0,1.8118131868131868,1.534795938460661,ROR1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Regulation Of Osteoblast Differentiation (GO:0045667),1/85,0.4286541078283712,0.5325101185213562,0,0,1.8118131868131868,1.534795938460661,HDAC9,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Amide Metabolic Process (GO:0034250),1/85,0.4286541078283712,0.5325101185213562,0,0,1.8118131868131868,1.534795938460661,GSAP,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Response To Interleukin-1 (GO:0070555),1/85,0.4286541078283712,0.5325101185213562,0,0,1.8118131868131868,1.534795938460661,CCL4,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Endothelial Cell Migration (GO:0010595),1/85,0.4286541078283712,0.5325101185213562,0,0,1.8118131868131868,1.534795938460661,PTK2B,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Protein Localization (GO:1903829),1/85,0.4286541078283712,0.5325101185213562,0,0,1.8118131868131868,1.534795938460661,TCF7L2,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,mRNA Metabolic Process (GO:0016071),1/85,0.4286541078283712,0.5325101185213562,0,0,1.8118131868131868,1.534795938460661,SLFN14,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Protein Polyubiquitination (GO:0000209),2/226,0.4369999795160923,0.5420415770577108,0,0,1.359703765227021,1.125592868133278,UBE2E1;UBE2E2,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Negative Regulation Of Neuron Death (GO:1901215),1/88,0.4398555062916063,0.5447441270226817,0,0,1.7490716180371353,1.436528262928994,PTK2B,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Apoptotic Process (GO:0006915),2/228,0.4414452393323715,0.5451148568973372,0,0,1.3475337861013923,1.1018801284911317,PPP1R15A;PTK2B,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,ERAD Pathway (GO:0036503),1/89,0.4435406599599452,0.5451148568973372,0,0,1.7291083916083916,1.405705989819677,RNF175,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Cellular Response To Chemical Stress (GO:0062197),1/89,0.4435406599599452,0.5451148568973372,0,0,1.7291083916083916,1.405705989819677,MSRA,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Regulation Of Vesicle-Mediated Transport (GO:0060627),1/89,0.4435406599599452,0.5451148568973372,0,0,1.7291083916083916,1.405705989819677,CD22,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Sensory Perception Of Mechanical Stimulus (GO:0050954),1/89,0.4435406599599452,0.5451148568973372,0,0,1.7291083916083916,1.405705989819677,ROR1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Phosphorylation (GO:0042327),2/231,0.4480772823936249,0.5482256008795333,0,0,1.3296773975153178,1.0674511277096193,NPTN;ROR1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),2/232,0.4502782741065434,0.5482256008795333,0,0,1.3238287832827773,1.0562690865572664,ROR1;CXXC5,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Regulation Of Epithelial Cell Proliferation (GO:0050678),1/91,0.4508389413444112,0.5482256008795333,0,0,1.6905128205128206,1.346738785032599,TCF7L2,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of MAP Kinase Activity (GO:0043406),1/91,0.4508389413444112,0.5482256008795333,0,0,1.6905128205128206,1.346738785032599,PIK3R5,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Binding (GO:0051099),1/91,0.4508389413444112,0.5482256008795333,0,0,1.6905128205128206,1.346738785032599,TCF7L2,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),1/91,0.4508389413444112,0.5482256008795333,0,0,1.6905128205128206,1.346738785032599,SLFN14,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
