names,scores,logfoldchanges,pvals,pvals_adj,cell_type,comparison
RP11-79E3.3,35.76116,0.66215163,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
VWC2L,35.727524,,1.478162471144715e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
CYP7B1,35.727524,-5.034373,1.478162471144715e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
SLC1A3,35.727524,-2.5637536,1.478162471144715e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
CTD-2203K17.1,35.72746,,1.4815334214446372e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
GREM2,35.727333,-1.795281,1.488298383830048e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
SNAI1,35.72727,-3.0446389,1.4916924309355832e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
ERG,35.72727,,1.4916924309355832e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
EHF,35.727013,-1.3677235,1.5053461358691824e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
FPR1,35.727013,-0.8402845,1.5053461358691824e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
ABCC3,35.727013,-0.6662616,1.5053461358691824e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
MGAM,35.727013,-0.5382947,1.5053461358691824e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
GUCY1A3,35.727013,-0.9314395,1.5053461358691824e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
DIO2,35.727013,-1.1762135,1.5053461358691824e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
ACSS3,35.727013,-0.099060886,1.5053461358691824e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
RGS18,35.727013,-1.1426077,1.5053461358691824e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
GPR27,35.727013,-0.473438,1.5053461358691824e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
SMIM2-AS1,35.727013,-0.7492647,1.5053461358691824e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
TDRD9,35.726948,-0.21051387,1.5087790295794471e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
RP11-563P16.1,35.726887,-0.31916577,1.5122197457617839e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
SLCO2B1,35.72682,-0.35132527,1.5156683022264337e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
LPAR1,35.72682,-0.15915231,1.5156683022264337e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
RP11-104L21.3,35.726757,-0.20190963,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
CTD-2587H19.1,35.726757,0.43073267,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
RP11-671J11.4,35.726757,2.7883756,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
HTR7,35.726757,-0.5009474,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
IFNG,35.726757,-0.105930075,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
TGM6,35.726757,0.8438836,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
ANLN,35.726757,0.250185,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
AC005808.3,35.726757,0.065774105,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
ESM1,35.726757,0.0044315197,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
CLEC5A,35.726757,-0.45962858,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
LINC01099,35.726757,0.62240905,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
C1orf116,35.726757,0.311341,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
IL36B,35.726757,-0.0152006615,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
COL14A1,35.726757,0.6710617,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
HOXA1,35.726757,0.6265604,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
PRDM5,35.726757,0.059186976,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
LLfos-48D6.1,35.726757,1.5967584,1.5191247168244946e-279,2.0809927627732804e-278,B_cell,PSNP_40nm_vs_control
MAFB,35.69395,-1.1739535,4.907149002347984e-279,6.412871280817103e-278,B_cell,PSNP_40nm_vs_control
