gene,scores,logfc,pval,padj,azimuth_cell_type,azimuth_cell_type_key,pct_in_group,pct_out_group,specificity
GABARAPL1,14.165782,0.73721015,1.4919619291607688e-45,2.036808094417432e-44,CD8 T,CD8_T,0.32960294343093666,0.2584258324924319,0.07117711093850476
DPYD,14.117673,0.36193597,2.955924161712722e-45,4.008032761644369e-44,CD8 T,CD8_T,0.646481680208493,0.6087285570131182,0.037753123195374716
CERS6,14.031536,0.62145233,9.996287399382028e-45,1.3284102856321631e-43,CD8 T,CD8_T,0.3903878583473861,0.3250756811301716,0.0653121772172145
CASK,14.029609,0.43348947,1.0271696918918976e-44,1.3604896581349639e-43,CD8 T,CD8_T,0.6141346006438754,0.5580726538849647,0.05606194675891063
ZEB2,13.9742565,0.61000293,2.2383889050015645e-44,2.935592006559429e-43,CD8 T,CD8_T,0.39858960600950477,0.3457618567103936,0.05282774929911116
TXK,13.973164,0.5713093,2.273002915907642e-44,2.9712456417093356e-43,CD8 T,CD8_T,0.4267208339720986,0.3617053481331989,0.06501548583889971
RPS23,13.839807,0.35269502,1.4660089785959714e-43,1.885542094657198e-42,CD8 T,CD8_T,0.9864326230262148,0.9607467204843594,0.025685902541855432
KIAA1671,13.806449,1.2961669,2.330393619395386e-43,2.987684127429982e-42,CD8 T,CD8_T,0.1784455005365629,0.09207870837537843,0.08636679216118448
BCL9L,13.804771,0.9744906,2.3852914312843045e-43,3.048295758829782e-42,CD8 T,CD8_T,0.2367009044917982,0.15554994954591322,0.08115095494588498
PTK2B,13.691058,0.5829656,1.1482465152595186e-42,1.4534766015943274e-41,CD8 T,CD8_T,0.39613674689560013,0.34152371342078713,0.054613033474813
TNFAIP3,13.587594,0.41783398,4.7441841324971986e-42,5.930230165621499e-41,CD8 T,CD8_T,0.6262455925187795,0.5740665993945511,0.05217899312422847
SPOCK2,13.557118,0.48308456,7.190574387969919e-42,8.904736084173274e-41,CD8 T,CD8_T,0.5784148397976391,0.4939455095862766,0.08446933021136249
TBCD,13.505447,0.88456416,1.4522806741640697e-41,1.7874223682019319e-40,CD8 T,CD8_T,0.25617047370841634,0.180978809283552,0.07519166442486433
RGCC,13.259168,0.786979,3.993027872117735e-40,4.670208037564602e-39,CD8 T,CD8_T,0.27694312432929635,0.20000000000000004,0.07694312432929631
TTC39B,13.245383,0.76588166,4.798238942715961e-40,5.595613927365552e-39,CD8 T,CD8_T,0.27816955388624864,0.19894046417759842,0.07922908970865022
RNF166,13.224532,0.8244818,6.3330022879832305e-40,7.342611348386355e-39,CD8 T,CD8_T,0.26168940671470176,0.18425832492431893,0.07743108179038283
CXCR4,13.199627,0.37520698,8.817059208957226e-40,1.0163757013207177e-38,CD8 T,CD8_T,0.7685880729725585,0.7196266397578205,0.048961433214738004
MLLT3,13.021445,0.44131812,9.240547026210938e-39,1.044129607481462e-37,CD8 T,CD8_T,0.6051663345086615,0.5390010090817358,0.06616532542692577
MTRNR2L12,12.999797,0.16841021,1.226686510156759e-38,1.378299449614336e-37,CD8 T,CD8_T,0.8985896060095047,0.8986377396569124,-4.8133647407744284e-05
TSC22D3,12.852579,0.5652461,8.319015816025273e-38,9.192282669641186e-37,CD8 T,CD8_T,0.38578874750881487,0.32008072653884967,0.0657080209699652
MYO1F,12.82291,0.6355957,1.2203176912250436e-37,1.3447026900551446e-36,CD8 T,CD8_T,0.34822934232714997,0.2950050454086781,0.05322429691847186
ST8SIA1,12.75089,0.84221435,3.0820827483052607e-37,3.350089943810066e-36,CD8 T,CD8_T,0.2565537329449639,0.18662966700302727,0.06992406594193665
RPL32,12.72757,0.33001968,4.155754138554615e-37,4.504882535018553e-36,CD8 T,CD8_T,0.9878123562777862,0.9652875882946521,0.022524767983134075
CCDC64,12.657403,0.44120145,1.01811816163676e-36,1.0859927057458773e-35,CD8 T,CD8_T,0.5729725586386631,0.5059535822401616,0.06701897639850152
CD97,12.5568905,0.7116933,3.6437115274139945e-36,3.8154047407476383e-35,CD8 T,CD8_T,0.28974398282998615,0.21937436932391524,0.0703696135060709
BCAS3,12.289585,0.44403523,1.0303314165735865e-34,1.0540474849857663e-33,CD8 T,CD8_T,0.4756247125555725,0.4296670030272453,0.04595770952832717
MAGED1,12.272591,0.63332516,1.2712003111908874e-34,1.2971431746845789e-33,CD8 T,CD8_T,0.3181051663345086,0.2513118062563068,0.0667933600782018
TFDP2,12.204088,0.50589466,2.956007000349619e-34,2.993424810480627e-33,CD8 T,CD8_T,0.4133067606929326,0.3549445005045409,0.05836226018839169
RPS10,12.185838,0.3057931,3.698342990286634e-34,3.735699990188519e-33,CD8 T,CD8_T,0.9503296029434308,0.9231079717457117,0.027221631197719143
NR3C2,12.172422,0.69221425,4.359496476272489e-34,4.381403493741195e-33,CD8 T,CD8_T,0.2810823240840104,0.2083753784056509,0.0727069456783595
ARHGEF3,12.154759,0.43757895,5.41206579035537e-34,5.425629865017914e-33,CD8 T,CD8_T,0.48214011957688174,0.42714429868819387,0.054995820888687874
KLRD1,12.119569,0.98708785,8.319576651309062e-34,8.237204605256497e-33,CD8 T,CD8_T,0.1882569369921815,0.10918264379414734,0.07907429319803415
EOMES,12.049515,1.6307842,1.950952638833094e-33,1.9173981708433358e-32,CD8 T,CD8_T,0.1305380959681128,0.05408678102926338,0.07645131493884944
RPS18,11.976407,0.34719855,4.723570620686957e-33,4.5859908938708325e-32,CD8 T,CD8_T,0.9871224896520006,0.9657921291624624,0.02133036048953818
ITM2C,11.898879,1.0869964,1.1994678609609537e-32,1.158906145855994e-31,CD8 T,CD8_T,0.18404108539015787,0.11377396569122099,0.07026711969893688
ATXN1,11.726036,0.33814383,9.374706488343668e-32,8.885977714069829e-31,CD8 T,CD8_T,0.6810516633450865,0.630928355196771,0.05012330814831545
LDLRAD4,11.673173,0.42751032,1.7477967658846076e-31,1.648864873476045e-30,CD8 T,CD8_T,0.49662731871838106,0.43536831483350164,0.061259003884879426
RPS6,11.552354,0.3180233,7.182621213420535e-31,6.697082716476023e-30,CD8 T,CD8_T,0.9813736011037865,0.9541876892028256,0.02718591190096087
RPLP1,11.392846,0.2249281,4.539171000784628e-30,4.098574267074156e-29,CD8 T,CD8_T,0.9904951709336194,0.9791624621594351,0.011332708774184241
RPL13,11.260223,0.2907753,2.0623507388607692e-29,1.8291359102977996e-28,CD8 T,CD8_T,0.9889621339874289,0.9716952573158428,0.017266876671586107
GNG2,11.174426,0.45777532,5.44006718657712e-29,4.803591334725933e-28,CD8 T,CD8_T,0.41982216771424186,0.37517658930373365,0.0446455784105082
PLEKHA5,11.039095,1.0600705,2.4751294786195126e-28,2.156975580496307e-27,CD8 T,CD8_T,0.17284991568296793,0.10600403632694251,0.06684587935602541
ZNF683,11.031629,2.8357527,2.689499294498233e-28,2.3386950386941158e-27,CD8 T,CD8_T,0.08738310593285296,0.016044399596367307,0.07133870633648566
MXRA7,10.958147,0.9018638,6.0730126092442975e-28,5.235355697624394e-27,CD8 T,CD8_T,0.1959221217231335,0.13027245206861757,0.06564966965451594
